country,lat,long
US,33.3908,-111.9184
CA,44.6573,-75.7146
FI,60.1719,24.9347
DE,47.8416,12.9862
FI,60.1719,24.9347
IT,45.4722,9.1922
DE,50.4777,12.3649
FR,46.8893,-1.8348
CH,47.1449,8.1551
FI,60.1719,24.9347
FR,49.4349,2.0864
US,40.095,-74.9033
GB,51.4964,-0.1224
CA,43.1373,-79.2928
SE,57.6206,12.4353
US,26.0219,-80.3003
DE,51.1864,6.8624
FR,48.8558,2.3494
ES,39.5661,2.6487
DE,50.1169,8.6837
US,37.751,-97.822
SG,1.2872,103.8507
CL,-33.4521,-70.6536
US,47.5329,-122.5801
US,45.0139,-93.1545
NL,51.4299,5.3918
AR,-34.6049,-58.4455
FR,48.8582,2.3387
CZ,49.1953,16.6016
FR,48.9012,2.3072
CA,43.6547,-79.3623
GB,51.5088,-0.093
CH,47.3643,8.5437
MY,2.5,112.5
FI,60.1719,24.9347
IS,64.1429,-21.9447
US,45.1422,-89.1413
DE,50.1169,8.6837
JP,35.6837,139.6805
CH,47.5048,8.5866
IT,45.4722,9.1922
CH,47.1449,8.1551
US,36.0069,-83.9702
BE,51.096,3.8319
FR,48.8582,2.3387
US,21.2891,-157.8028
JP,35.69,139.69
GB,53.5915,-2.3931
TW,24.673,121.1614
ES,39.4676,-0.3771
US,37.133,-113.6541
US,35.4422,-97.4488
FR,48.9742,8.1851
US,41.1371,-85.0637
HK,22.2578,114.1657
DE,50.4777,12.3649
HK,22.2842,114.1759
FR,48.8582,2.3387
US,39.8949,-76.1465
DE,49.3833,11.0403
DE,49.4423,11.0191
US,41.1784,-73.1863
GB,54.5753,-5.9962
US,39.0469,-77.4903
US,40.7906,-89.3606
DE,50.4777,12.3649
FI,60.1719,24.9347
NL,51.9968,4.2057
FR,48.8582,2.3387
US,39.018,-77.539
US,25.882,-80.2291
US,41.9703,-87.664
NO,60.3871,5.3003
BE,50.8534,4.347
DE,51.1864,6.8624
CH,47.3643,8.5437
US,33.0287,-96.6826
GB,51.5088,-0.093
TR,41.0214,28.9948
BR,-22.9072,-43.1883
US,33.1922,-117.3852
